Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,CO2 Emissions(g/km),City,HighWay,Combination
70,5.0,2.0,6.4,8.0,23.0,4.0,356,16.7,13.3,15.17
71,14.0,0.0,5.0,8.0,15.0,4.0,314,12.4,10.4,11.5
72,5.0,11.0,3.6,6.0,3.0,1.0,262,12.544509425422014,10.3,11.01
73,7.0,10.0,2.3,4.0,11.0,3.0,230,8.6,7.9,8.29
74,2.0,0.0,2.9777784042058384,4.0,23.0,4.0,215,11.5,9.0,10.4
75,20.0,2.0,3.5,6.0,13.0,3.0,221,12.544509425422014,9.1,10.75
76,5.0,2.0,6.4,8.0,5.0,4.0,350,29.49,15.0,22.98
77,6.0,3.0,1.4,4.0,22.0,3.0,180,7.8,7.3,7.58
78,0.0,0.0,2.9777784042058384,4.0,9.0,4.0,211,10.7,7.7,9.35
79,7.0,6.0,3.3,6.0,13.0,1.0,260,12.544509425422014,9.1,10.25
80,20.0,0.0,2.9777784042058384,4.0,1.0,3.0,120,8.8,6.3,7.67
81,1.0,2.0,2.9777784042058384,4.0,20.0,3.0,193,8.7,8.4,8.56
82,11.0,9.0,1.6,4.0,7.0,3.0,159,9.5,6.9,8.33
83,4.0,10.0,2.0,4.0,15.0,4.0,222,13.5,8.6,11.29
84,10.0,12.0,6.4,8.0,5.0,4.0,361,19.8,18.0,18.98
85,7.0,1.0,3.5,6.0,13.0,1.0,252,12.8,10.8,11.9
86,3.0,2.0,6.2,8.0,15.0,4.0,428,19.0,11.5,15.62
87,8.0,11.0,2.9777784042058384,4.0,13.0,4.0,259,13.6,10.5,12.2
88,11.0,4.0,2.9777784042058384,6.0,13.0,3.0,270,12.7,8.9,11.0
89,18.0,2.0,2.0,4.0,23.0,3.0,185,9.0,7.1,8.1
90,8.0,9.0,1.8,4.0,22.0,3.0,194,9.3,5.8,7.73
91,7.0,6.0,5.0,8.0,13.0,3.0,353,12.8,11.7,12.3
92,4.0,0.0,1.4,4.0,23.0,3.0,198,8.9,7.8,8.4
93,4.0,5.0,3.6,6.0,5.0,3.0,313,11.6,7.8,9.89
94,3.0,0.0,3.6,6.0,13.0,3.0,252,10.0,7.9,9.05
95,4.0,6.0,5.3,8.0,3.0,3.0,418,15.8,13.1,14.58
96,2.0,10.0,4.4,8.0,8.0,4.0,392,21.69,10.3,16.57
97,4.0,11.0,5.3,5.292000277527232,3.0,1.0,266,19.4,9.3,14.86
98,14.0,10.0,3.5,6.0,13.0,4.0,273,16.4,12.6,14.68
99,13.0,11.0,2.0,4.0,15.0,4.0,245,11.3,9.0,10.27
100,0.0,0.0,2.9777784042058384,6.0,16.0,4.0,219,12.2,9.137623176401432,10.4
101,11.0,11.0,2.4,4.0,13.0,3.0,236,11.0,9.5,10.3
102,20.0,3.0,2.0,4.0,23.0,4.0,241,12.5,8.6,10.74
103,7.0,6.0,2.9777784042058384,8.0,13.0,3.0,346,19.69,10.7,15.65
104,2.0,12.0,3.0,6.0,5.0,4.0,247,10.91,7.6,9.42
105,15.0,2.0,2.5,4.0,13.0,3.0,106,4.2,5.6,4.83
106,10.0,11.0,3.6,6.0,5.0,3.0,274,13.61,8.2,11.17
107,7.0,6.0,5.0,8.0,13.0,1.0,297,15.49,8.4,12.3
108,14.0,11.0,2.5,4.0,19.0,3.0,164,9.0,7.2,8.19
109,17.0,2.0,2.9777784042058384,4.0,17.0,3.0,195,11.6,8.6,10.25
110,20.0,0.0,2.9777784042058384,4.0,13.0,3.0,157,9.1,7.5,8.38
111,7.0,2.0,2.0,4.0,13.0,3.0,214,11.6,9.3,10.56
112,16.0,11.0,2.0,4.0,19.0,3.0,197,9.8,7.8,8.9
113,4.0,6.0,6.2,8.0,5.0,4.0,353,13.4,12.59,13.04
114,2.0,13.0,3.0,5.292000277527232,8.0,4.0,283,18.42,9.137623176401432,14.76
115,5.0,1.0,3.6,6.0,13.0,3.0,273,12.544509425422014,11.0,14.96
116,12.0,13.0,6.5,12.0,8.0,4.0,358,21.0,14.3,17.98
117,7.0,2.0,2.0,4.0,17.0,3.0,167,10.3,5.3,8.05
118,16.0,11.0,2.4,4.0,19.0,3.0,229,8.9,8.7,8.81
119,11.0,4.0,3.3,6.0,13.0,3.0,312,12.544509425422014,7.9,10.37
120,7.0,0.0,1.0,3.0,23.0,3.0,165,11.5,7.2,9.57
121,5.0,2.0,2.4,4.0,3.0,3.0,188,8.4,6.7,7.63
122,19.0,12.0,2.0,5.292000277527232,15.0,4.0,253,8.2,7.4,7.84
123,4.0,0.0,1.4,4.0,13.0,3.0,186,10.3,7.7,9.13
124,14.0,2.0,3.5,6.0,18.0,4.0,185,4.2,6.3,5.14
125,9.0,11.0,1.5,4.0,17.0,3.0,164,9.1,7.1,8.2
126,17.0,2.0,3.5,6.0,17.0,3.0,207,11.1,7.5,9.48
127,15.0,11.0,2.5,5.292000277527232,13.0,3.0,192,10.6,7.2,9.1
128,2.0,10.0,4.4,8.0,15.0,4.0,289,16.71,17.5,17.06
129,12.0,12.0,4.0,8.0,15.0,4.0,391,17.7,11.8,15.04
130,7.0,0.0,2.9777784042058384,4.0,23.0,3.0,203,10.6,12.1,11.27
131,9.0,1.0,1.5,4.0,20.0,4.0,166,10.4,6.4,8.6
132,7.0,1.0,2.0,4.0,13.0,3.0,204,10.5,6.3,8.61
133,3.0,2.0,6.2,8.0,15.0,4.0,359,17.9,14.3,16.28
134,1.0,9.0,2.0,4.0,22.0,3.0,201,10.1,8.5,9.38
135,7.0,7.0,2.0,4.0,15.0,3.0,226,12.1,9.6,10.98
136,15.0,0.0,2.0,4.0,13.0,3.0,181,12.544509425422014,6.8,8.29
137,2.0,0.0,3.0,6.0,23.0,4.0,238,11.3,9.5,10.49
138,5.0,2.0,6.2,8.0,5.0,4.0,372,20.6,17.5,19.19
139,12.0,13.0,5.2,10.0,8.0,4.0,360,16.1,15.29,15.74
140,7.0,12.0,3.5,6.0,13.0,1.0,308,18.51,11.3,15.27
141,7.0,10.0,2.3,4.0,11.0,3.0,218,16.2,8.2,12.6
142,7.0,12.0,3.5,6.0,13.0,1.0,312,13.8,9.6,11.9
143,4.0,6.0,2.7,4.0,5.0,3.0,296,18.69,9.5,11.013572964095445
144,2.0,2.0,2.0,4.0,15.0,4.0,213,10.0,7.7,8.96
145,5.0,2.0,2.4,4.0,3.0,3.0,210,10.6,7.9,9.38
146,8.0,0.0,2.9777784042058384,4.0,7.0,3.0,191,7.2,8.6,7.83
147,16.0,0.0,2.0,5.292000277527232,19.0,3.0,186,8.8,7.0,7.99
148,20.0,12.0,4.0,6.0,12.0,3.0,344,17.3,11.9,14.88
149,2.0,0.0,3.0,6.0,15.0,4.0,223,9.8,8.2,9.08
150,7.0,7.0,2.5,4.0,13.0,3.0,232,12.7,7.9,10.54
151,5.0,11.0,3.6,6.0,3.0,1.0,272,14.0,9.4,11.9
152,10.0,11.0,2.4,4.0,6.0,3.0,222,11.1,12.11,11.55
153,4.0,5.0,3.6,6.0,5.0,3.0,362,18.2,18.5,18.3
154,2.0,10.0,4.4,8.0,15.0,4.0,310,17.61,9.9,14.14
155,18.0,1.0,2.0,4.0,13.0,3.0,201,10.1,5.5,8.03
156,2.0,9.0,2.0,4.0,5.0,0.0,160,9.7,7.3,8.62
157,20.0,2.0,1.8,4.0,17.0,3.0,113,5.1,5.9,5.46
158,15.0,0.0,2.5,4.0,13.0,3.0,117,9.4,6.8,8.23
159,17.0,2.0,1.8,4.0,17.0,3.0,105,5.5,7.6,6.44
160,19.0,9.0,2.5,5.0,13.0,3.0,230,9.4,8.2,8.86
161,4.0,10.0,1.2,4.0,22.0,3.0,169,9.7,5.5,7.81
162,2.0,11.0,3.0,6.0,15.0,4.0,284,14.9,9.7,11.013572964095445
163,4.0,0.0,1.8,4.0,13.0,3.0,198,9.2,6.9,8.16
164,1.0,3.0,2.0,5.292000277527232,23.0,4.0,239,9.3,7.7,8.58
165,7.0,11.0,2.5,4.0,13.0,3.0,200,10.4,7.3,9.0
166,11.0,2.0,2.4,4.0,7.0,3.0,143,4.2,6.3,5.15
167,18.0,11.0,2.0,4.0,13.0,3.0,198,10.2,7.7,9.07
168,2.0,10.0,2.0,4.0,15.0,4.0,187,9.3,7.5,11.013572964095445
169,9.0,1.0,2.9777784042058384,5.292000277527232,17.0,3.0,168,8.9,6.5,7.82
170,7.0,6.0,3.7,6.0,3.0,3.0,344,15.5,12.0,13.93
171,16.0,0.0,1.2,3.0,17.0,3.0,178,10.2,6.2,11.013572964095445
172,5.0,4.0,3.6,6.0,3.0,3.0,287,17.89,9.6,14.2
173,20.0,11.0,2.5,4.0,13.0,3.0,212,11.1,6.2,8.89
174,7.0,6.0,3.0,6.0,11.0,0.0,301,15.0,11.1,11.013572964095445
175,19.0,0.0,2.9777784042058384,4.0,15.0,3.0,181,8.3,8.1,8.21
176,7.0,11.0,2.0,4.0,13.0,3.0,238,9.8,9.1,9.48
177,10.0,11.0,1.3,4.0,6.0,3.0,210,13.5,6.1,10.17
178,6.0,3.0,1.4,4.0,3.0,3.0,209,11.8,7.4,9.82
179,5.0,2.0,5.7,8.0,5.0,3.0,315,14.6,12.4,13.61
180,0.0,11.0,3.5,6.0,13.0,4.0,235,8.9,10.1,9.44
181,17.0,2.0,1.6,4.0,20.0,4.0,210,12.0,8.3,10.34
182,20.0,11.0,2.5,4.0,13.0,3.0,212,8.5,8.4,8.46
183,7.0,2.0,2.7,5.292000277527232,13.0,3.0,271,10.2,8.0,9.21
184,20.0,12.0,3.5,6.0,13.0,3.0,289,16.0,13.19,14.74
185,4.0,11.0,2.5,4.0,6.0,3.0,241,13.0,8.1,10.79
186,6.0,3.0,1.4,4.0,22.0,3.0,179,10.6,7.1,9.03
187,10.0,11.0,3.2,6.0,6.0,3.0,260,16.5,10.4,13.76
188,3.0,1.0,2.0,4.0,15.0,4.0,216,8.4,7.8,8.13
189,14.0,2.0,2.5,4.0,13.0,3.0,162,9.9,7.2,8.69
190,4.0,2.0,1.8,4.0,23.0,3.0,194,9.3,7.7,8.6
191,20.0,2.0,1.8,5.292000277527232,17.0,3.0,172,10.5,6.7,8.79
192,11.0,11.0,2.0,4.0,13.0,3.0,272,16.71,12.7,14.9
193,10.0,12.0,2.9777784042058384,6.0,23.0,3.0,304,19.7,14.5,17.36
194,4.0,10.0,6.2,8.0,23.0,4.0,314,20.4,9.137623176401432,17.57
195,20.0,5.0,3.5,6.0,13.0,3.0,268,12.4,9.1,10.92
196,11.0,11.0,2.0,4.0,13.0,3.0,279,17.2,10.6,14.23
197,8.0,0.0,2.0,4.0,23.0,3.0,214,12.1,9.0,10.71
198,4.0,10.0,6.2,8.0,11.0,4.0,314,15.6,13.9,11.013572964095445
199,7.0,10.0,2.3,4.0,13.0,3.0,225,12.8,8.5,10.87
200,4.0,2.0,1.4,4.0,23.0,3.0,161,10.7,7.9,9.4
201,8.0,2.0,2.0,5.292000277527232,13.0,3.0,192,12.544509425422014,8.2,9.8
202,7.0,2.0,2.9777784042058384,4.0,17.0,3.0,176,9.4,6.5,11.013572964095445
203,5.0,2.0,3.6,6.0,5.0,3.0,231,11.9,9.3,10.73
204,7.0,7.0,2.5,4.0,13.0,3.0,246,15.2,6.5,11.29
205,20.0,2.0,3.5,6.0,13.0,3.0,226,11.0,7.1,9.24
206,4.0,2.0,2.9777784042058384,4.0,22.0,3.0,184,14.0,7.2,10.94
207,2.0,1.0,4.4,8.0,5.0,4.0,292,16.0,10.5,13.52
208,7.0,6.0,5.0,8.0,11.0,3.0,330,20.1,12.11,11.013572964095445
209,12.0,13.0,5.2,10.0,8.0,4.0,369,17.61,10.9,11.013572964095445
210,4.0,10.0,6.2,8.0,11.0,4.0,396,15.1,10.8,13.16
211,3.0,9.0,3.6,6.0,13.0,3.0,277,16.0,10.0,13.3
212,2.0,0.0,3.0,6.0,15.0,4.0,233,11.4,7.7,9.74
213,20.0,2.0,2.9777784042058384,4.0,19.0,3.0,157,9.3,7.2,8.36
214,3.0,12.0,6.2,8.0,3.0,4.0,338,17.01,10.0,13.85
215,8.0,0.0,1.8,4.0,22.0,3.0,189,8.8,7.9,8.39
216,2.0,0.0,2.9777784042058384,6.0,23.0,4.0,266,10.4,9.9,10.18
217,7.0,6.0,3.5,6.0,11.0,3.0,361,30.21,19.1,25.2
218,4.0,12.0,5.3,8.0,3.0,1.0,298,14.1,11.49,12.93
219,3.0,1.0,3.6,6.0,11.0,3.0,275,11.2,8.7,10.07
220,2.0,0.0,3.0,6.0,15.0,4.0,196,9.3,7.6,8.53
221,4.0,12.0,5.3,8.0,3.0,3.0,350,15.6,12.3,14.12
222,1.0,0.0,2.5,4.0,23.0,4.0,315,15.7,10.5,13.36
223,1.0,2.0,2.0,4.0,20.0,3.0,97,6.2,6.9,6.5
224,11.0,11.0,2.4,4.0,13.0,3.0,231,12.5,10.1,11.42
225,10.0,12.0,6.2,8.0,5.0,4.0,369,22.1,12.0,17.55
226,10.0,6.0,3.6,6.0,5.0,3.0,307,18.2,9.2,14.2
227,2.0,0.0,2.9777784042058384,6.0,5.0,4.0,222,10.5,9.3,9.96
228,18.0,2.0,2.0,4.0,7.0,3.0,103,4.2,6.5,5.24
229,3.0,12.0,3.6,6.0,13.0,3.0,317,15.7,10.91,13.54
230,11.0,1.0,3.8,6.0,15.0,3.0,293,15.6,12.2,14.07
231,17.0,2.0,2.5,4.0,17.0,3.0,170,8.0,6.9,7.51
232,7.0,6.0,3.5,6.0,11.0,3.0,286,12.8,7.4,10.4
233,4.0,13.0,6.2,8.0,24.0,4.0,258,17.2,10.3,14.1
234,11.0,9.0,2.0,4.0,13.0,3.0,215,11.9,7.9,10.1
235,6.0,13.0,2.9777784042058384,4.0,23.0,3.0,192,10.0,7.1,8.69
236,5.0,2.0,5.7,5.292000277527232,5.0,3.0,311,17.1,8.4,13.19
237,3.0,0.0,3.6,5.292000277527232,15.0,4.0,310,22.12,11.1,17.14
238,5.0,1.0,3.6,6.0,5.0,3.0,260,14.7,8.0,11.013572964095445
239,2.0,1.0,4.4,8.0,5.0,3.0,309,19.4,12.0,16.08
240,7.0,11.0,3.5,6.0,13.0,3.0,266,11.8,7.8,10.0
241,3.0,2.0,6.2,8.0,15.0,4.0,361,21.79,14.7,18.61
242,14.0,12.0,4.6,8.0,13.0,4.0,388,16.4,10.2,13.61
243,16.0,0.0,1.2,3.0,17.0,3.0,119,4.2,5.9,4.96
244,14.0,11.0,2.0,4.0,13.0,4.0,237,13.4,9.6,11.7
245,4.0,12.0,5.3,8.0,3.0,3.0,345,17.1,11.2,14.45
246,20.0,5.0,3.5,6.0,23.0,3.0,354,16.39,9.3,13.2
247,5.0,4.0,3.6,6.0,3.0,3.0,290,12.1,9.7,11.02
248,11.0,0.0,1.6,4.0,13.0,3.0,225,9.9,8.6,9.31
249,1.0,11.0,2.0,4.0,17.0,3.0,193,9.9,8.3,9.18
250,9.0,2.0,2.0,4.0,11.0,3.0,205,10.2,7.4,11.013572964095445
251,2.0,0.0,2.0,4.0,15.0,4.0,202,9.0,6.6,7.92
252,14.0,2.0,2.9777784042058384,4.0,11.0,3.0,163,8.2,7.4,7.84
253,20.0,2.0,3.5,6.0,15.0,3.0,209,10.1,8.3,9.29
254,10.0,11.0,2.4,4.0,3.0,3.0,222,12.2,8.3,10.45
255,2.0,2.0,4.4,8.0,15.0,4.0,324,15.8,10.1,13.23
256,1.0,2.0,2.0,4.0,22.0,3.0,211,10.5,7.0,8.93
257,14.0,10.0,5.0,8.0,15.0,4.0,306,12.1,11.4,11.8
258,18.0,10.0,3.8,6.0,15.0,4.0,302,11.9,11.3,11.63
259,4.0,0.0,6.2,8.0,23.0,4.0,436,30.5,13.3,22.77
260,10.0,11.0,2.0,4.0,5.0,3.0,231,9.8,8.3,9.12
261,18.0,11.0,3.3,6.0,13.0,3.0,273,14.7,10.0,12.59
262,10.0,11.0,2.0,4.0,5.0,3.0,241,15.9,8.7,12.66
263,17.0,2.0,3.5,6.0,20.0,4.0,220,12.4,8.1,10.46
264,7.0,6.0,5.0,8.0,11.0,3.0,334,20.9,9.137623176401432,16.8
265,4.0,0.0,1.6,4.0,6.0,0.0,179,9.0,7.7,8.41
266,19.0,11.0,2.0,4.0,15.0,4.0,236,12.6,8.6,10.8
267,7.0,10.0,5.2,5.292000277527232,8.0,4.0,373,17.4,10.0,14.06
268,2.0,11.0,2.0,4.0,15.0,4.0,225,10.2,9.1,9.71
269,0.0,11.0,2.0,4.0,11.0,4.0,242,16.2,10.1,13.46
270,4.0,1.0,2.9777784042058384,6.0,13.0,1.0,238,12.3,9.5,11.0
271,7.0,11.0,2.7,6.0,15.0,3.0,252,14.3,13.0,13.71
272,1.0,3.0,2.0,4.0,13.0,4.0,214,11.4,7.3,9.55
273,5.0,2.0,1.4,4.0,23.0,3.0,177,9.1,6.5,7.9
274,7.0,6.0,3.5,6.0,11.0,3.0,307,13.1,8.8,11.16
275,5.0,2.0,6.4,8.0,23.0,4.0,338,15.5,10.4,13.21
276,20.0,11.0,3.5,6.0,13.0,3.0,261,12.544509425422014,10.8,16.2
277,16.0,0.0,1.2,3.0,17.0,3.0,138,6.0,6.3,6.13
278,17.0,11.0,2.0,4.0,17.0,3.0,224,11.4,10.6,11.04
279,7.0,10.0,2.9777784042058384,4.0,23.0,3.0,237,17.5,10.1,14.17
280,16.0,0.0,1.2,3.0,22.0,3.0,133,12.544509425422014,12.0,8.81
281,9.0,11.0,3.5,6.0,16.0,3.0,261,16.0,8.4,12.58
282,4.0,6.0,5.3,8.0,3.0,1.0,327,12.544509425422014,9.3,16.84
283,2.0,0.0,2.0,4.0,15.0,0.0,198,11.3,7.8,9.72
284,5.0,2.0,1.4,4.0,7.0,3.0,160,8.5,5.8,7.28
285,11.0,1.0,2.0,4.0,13.0,3.0,216,12.544509425422014,7.5,10.3
286,10.0,12.0,2.9777784042058384,8.0,5.0,3.0,358,13.2,11.4,12.39
287,7.0,6.0,5.0,8.0,11.0,3.0,341,14.9,13.3,14.18
288,7.0,1.0,2.0,4.0,13.0,3.0,214,14.7,8.6,11.96
289,7.0,7.0,2.5,4.0,13.0,3.0,247,13.91,10.8,12.5
290,2.0,1.0,3.0,5.292000277527232,15.0,4.0,243,11.2,8.9,10.16
291,11.0,8.0,2.0,4.0,13.0,3.0,208,10.7,9.2,10.02
292,5.0,1.0,3.6,6.0,5.0,3.0,246,10.4,8.3,9.46
293,9.0,11.0,3.5,6.0,16.0,3.0,255,10.5,8.4,9.55
294,9.0,1.0,2.0,4.0,23.0,3.0,211,10.4,7.2,9.0
295,7.0,10.0,1.0,4.0,22.0,3.0,142,5.2,7.3,6.14
296,1.0,1.0,2.4,4.0,21.0,3.0,215,10.9,8.4,9.8
297,7.0,7.0,2.9777784042058384,4.0,13.0,1.0,232,15.3,10.6,13.19
298,14.0,2.0,4.6,8.0,15.0,4.0,322,15.4,11.1,13.46
299,9.0,11.0,3.5,6.0,16.0,3.0,262,10.8,9.0,9.99
300,4.0,15.0,4.8,8.0,3.0,3.0,401,14.49,9.9,12.43
301,17.0,2.0,3.5,6.0,20.0,4.0,239,12.3,9.8,11.2
302,9.0,1.0,1.5,4.0,20.0,3.0,180,10.2,7.5,8.98
303,20.0,5.0,2.7,5.292000277527232,13.0,3.0,272,12.1,9.5,10.93
304,7.0,7.0,2.5,4.0,13.0,3.0,256,16.21,11.3,13.99
305,14.0,10.0,2.9777784042058384,6.0,13.0,4.0,248,11.2,8.3,9.89
306,6.0,3.0,1.4,4.0,22.0,3.0,162,7.8,7.4,7.62
307,1.0,11.0,2.5,4.0,19.0,3.0,210,11.8,8.0,10.09
308,19.0,8.0,2.0,4.0,15.0,4.0,222,11.3,7.7,9.68
309,7.0,12.0,3.5,6.0,13.0,3.0,303,15.29,8.4,12.2
310,20.0,12.0,3.5,6.0,15.0,3.0,241,15.9,8.3,12.48
311,0.0,0.0,1.5,5.292000277527232,20.0,4.0,179,10.1,7.9,9.1
312,16.0,11.0,2.4,4.0,19.0,3.0,224,11.9,9.1,10.64
313,4.0,12.0,6.2,8.0,0.0,4.0,362,22.51,12.59,18.05
314,14.0,10.0,2.9777784042058384,8.0,15.0,4.0,292,14.6,9.9,12.48
315,17.0,11.0,1.6,4.0,17.0,3.0,163,8.2,9.137623176401432,7.84
316,4.0,13.0,6.2,8.0,15.0,4.0,352,18.2,10.4,14.68
317,4.0,6.0,2.7,4.0,5.0,3.0,286,12.2,8.6,10.58
318,14.0,2.0,4.6,8.0,15.0,4.0,291,11.4,10.6,11.0
319,17.0,6.0,5.6,8.0,2.0,3.0,369,21.1,10.3,11.013572964095445
320,7.0,2.0,2.0,4.0,13.0,3.0,228,12.11,10.0,11.2
321,4.0,0.0,6.2,8.0,13.0,4.0,301,10.3,13.2,11.6
322,19.0,11.0,2.0,4.0,15.0,3.0,206,11.4,8.8,10.23
323,16.0,11.0,2.4,4.0,19.0,3.0,218,9.8,8.0,8.99
324,7.0,6.0,2.9777784042058384,6.0,13.0,3.0,280,15.29,8.7,12.33
325,8.0,0.0,1.4,4.0,8.0,4.0,134,7.8,8.4,8.07
326,20.0,5.0,2.7,4.0,1.0,3.0,254,12.6,7.9,10.49
327,0.0,0.0,2.4,4.0,9.0,4.0,195,9.5,6.6,11.013572964095445
328,7.0,10.0,5.0,8.0,11.0,3.0,351,15.3,10.4,13.09
329,7.0,6.0,2.9777784042058384,6.0,11.0,0.0,284,16.5,9.9,13.53
330,9.0,9.0,1.5,4.0,22.0,3.0,123,9.0,8.4,8.73
331,11.0,1.0,3.3,5.292000277527232,13.0,3.0,233,11.2,8.2,9.85
332,11.0,2.0,2.9777784042058384,4.0,23.0,3.0,114,5.8,6.9,6.29
333,14.0,0.0,3.5,6.0,13.0,4.0,245,13.4,9.5,11.64
334,11.0,0.0,2.9777784042058384,4.0,8.0,3.0,211,12.544509425422014,7.3,7.91
335,11.0,9.0,2.0,4.0,13.0,3.0,203,11.6,7.1,9.57
